agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2001-08-11T00:00:00.000Z,0,,,34021003500,A,0,40.2,-74.8,3,,0,1,0,,4,1960-01-01T00:00:00.000Z,1997-08-14T00:00:00.000Z,,5658.48,,0,1,0,NJ,0,74200,2001,8638,0,bb138e68-351e-4f65-8f33-8ac109586bf4
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2004-09-28T00:00:00.000Z,0,,,34021003400,X,0,40.2,-74.8,3,,0,1,0,,4,1974-12-30T00:00:00.000Z,2003-09-14T00:00:00.000Z,5504.28,914.78,,0,1,0,NJ,19500,14100,2004,8638,0,4b8dc33c-aaca-47a9-8605-923738c67bb5
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2005-10-08T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,2,0,,1,2034-01-01T00:00:00.000Z,2004-12-18T00:00:00.000Z,1094.62,1630.58,,0,1,0,NJ,98400,5000,2005,8638,1,96da2395-bfd0-47b8-8ab9-0b8b5c5a0f69
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2006-06-28T00:00:00.000Z,0,1,,34021003500,X,0,40.3,-74.8,2,,0,2,0,,1,1985-01-01T00:00:00.000Z,2005-11-11T00:00:00.000Z,,,,1,7,0,NJ,250000,100000,2006,8638,1,96440ed2-c3a3-4a80-a66d-a3f69579fb28
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2007-02-11T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,0,,0,2,0,,1,1955-07-01T00:00:00.000Z,2004-03-12T00:00:00.000Z,,,,0,1,0,NJ,55000,0,2007,8609,0,e3b01a03-d731-4542-a786-42505c0a5386
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2007-04-16T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,2,,0,2,0,,1,1982-06-14T00:00:00.000Z,2003-12-25T00:00:00.000Z,,,,0,1,0,NJ,47000,11600,2007,8609,1,836ffb5a-4da9-47ba-ba10-a67a15734cb4
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2007-04-16T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,3,0,,1,1960-01-01T00:00:00.000Z,2003-10-22T00:00:00.000Z,643.36,,,0,1,0,NJ,158000,50000,2007,8638,1,c28de3db-cc0a-4e6e-b341-ba02f51416a4
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2007-04-16T00:00:00.000Z,0,1,,34021001900,C,0,40.2,-74.7,4,,0,2,0,,4,1952-07-01T00:00:00.000Z,1994-01-14T00:00:00.000Z,213318.64,140800,,0,1,0,NJ,214300,140800,2007,8638,0,7712a16d-c2a0-451f-af4a-8bd374fa5e32
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2007-04-15T00:00:00.000Z,0,,,34021003500,AE,0,40.2,-74.8,0,,0,3,0,,4,1976-01-29T00:00:00.000Z,2004-04-06T00:00:00.000Z,19702.28,,,0,1,0,NJ,55000,0,2007,8638,0,9bf8cef9-d13d-4a04-a6e9-a3312a8a8a8d
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2007-04-16T00:00:00.000Z,0,,,34021001900,C,0,40.2,-74.7,3,,0,1,0,,4,1950-01-01T00:00:00.000Z,2001-02-25T00:00:00.000Z,,100000,,0,1,0,NJ,0,100000,2007,8638,0,b35e094d-d388-418d-ba3c-7be82e7b1953
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2007-04-16T00:00:00.000Z,0,,,34021003704,X,0,40.3,-74.8,2,,0,2,0,,1,1970-07-01T00:00:00.000Z,2006-07-22T00:00:00.000Z,2841.09,,,0,7,0,NJ,250000,100000,2007,8638,1,18d95733-ad81-4397-ac01-6cd46ea72a25
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2009-08-02T00:00:00.000Z,0,,,34021001800,C,0,40.2,-74.7,2,,0,3,0,,4,1974-12-30T00:00:00.000Z,2003-09-01T00:00:00.000Z,,4938.88,,0,1,0,NJ,0,50000,2009,8638,0,1fa24c99-1a26-4287-a272-f92a5a4e98d8
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2009-08-22T00:00:00.000Z,0,1,,34021003500,X,0,40.3,-74.8,2,,0,2,0,,1,1985-01-01T00:00:00.000Z,2005-11-11T00:00:00.000Z,4580.69,,,1,7,0,NJ,250000,100000,2009,8638,1,99b84129-b6a5-48bd-b921-1fdab3215e65
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2009-08-23T00:00:00.000Z,0,,,34021003500,X,0,40.3,-74.8,2,,0,3,0,,1,2003-01-01T00:00:00.000Z,2003-03-19T00:00:00.000Z,2635.17,,,1,1,0,NJ,219700,0,2009,8638,1,ce1794d7-e629-453b-8ed2-de20718b16ba
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2010-03-12T00:00:00.000Z,0,,,34021003704,X,0,40.3,-74.8,0,,0,3,0,,1,1977-01-01T00:00:00.000Z,1998-10-24T00:00:00.000Z,,,,1,7,0,NJ,250000,100000,2010,8638,1,7e91005f-e87a-4d08-9972-3cdb8ff5c1a2
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2010-05-31T00:00:00.000Z,0,,,34021001800,C,0,40.2,-74.7,2,,0,3,0,,4,1974-12-30T00:00:00.000Z,2003-09-01T00:00:00.000Z,,21836.41,,0,1,0,NJ,0,50000,2010,8638,0,216fea57-ed2d-457a-9610-4eb0f38820d8
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,0,,0,3,0,,1,2033-01-01T00:00:00.000Z,2009-03-19T00:00:00.000Z,,,,0,1,0,NJ,15000,0,2011,8609,1,b3bb50ce-3a0f-4cda-8274-257a79f87909
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,2,,0,3,0,,1,1976-04-11T00:00:00.000Z,2011-01-20T00:00:00.000Z,5289.35,1295.51,,0,1,0,NJ,213000,97000,2011,8609,1,a275da8a-59fc-4134-95f3-770d7f84db70
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,0,,0,3,0,,1,2048-05-15T00:00:00.000Z,2008-10-24T00:00:00.000Z,8151.73,,,0,1,0,NJ,71000,0,2011,8609,0,823ed794-6d45-4fa9-80c4-8f27734d0c02
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-29T00:00:00.000Z,0,1,,34021002800,A04,0,40.2,-74.7,2,,0,3,0,,4,2040-01-01T00:00:00.000Z,2007-05-10T00:00:00.000Z,8675.43,,,0,1,0,NJ,290000,10000,2011,8609,0,f41ed2fc-890c-43fb-aac3-41bfeaf981b8
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,1,,34021002800,C,0,40.2,-74.7,2,,0,2,0,,1,1955-02-02T00:00:00.000Z,2007-03-28T00:00:00.000Z,2336.85,,,0,7,0,NJ,250000,100000,2011,8609,1,d90f57a9-16f3-47f6-849b-cf5b92c6ac2e
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,2,,0,2,0,,1,1982-06-14T00:00:00.000Z,2003-12-25T00:00:00.000Z,8825.01,,,0,1,0,NJ,68900,14100,2011,8609,1,f5245688-0957-4540-a8e9-d5eb37d8abee
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-30T00:00:00.000Z,0,,,34021002800,A12,0,40.2,-74.7,2,,0,3,0,,1,2020-01-01T00:00:00.000Z,2007-05-10T00:00:00.000Z,6449.31,,,0,1,0,NJ,17100,6300,2011,8609,1,9fd08488-24ac-48a9-bf86-fef652b39587
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,0,,0,3,0,,1,1950-01-01T00:00:00.000Z,2003-12-06T00:00:00.000Z,5368.16,,,0,1,0,NJ,139000,0,2011,8609,1,d7758257-68e1-4552-8751-730d7fb04be4
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021002800,C,0,40.2,-74.7,2,,0,3,0,,1,2035-07-01T00:00:00.000Z,1999-06-11T00:00:00.000Z,7690.95,839.96,,0,7,0,NJ,200000,80000,2011,8609,1,3ea39ef3-94a5-4a81-9331-1eda52850316
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-14T00:00:00.000Z,0,1,,34021002800,A04,0,40.2,-74.7,2,,0,3,0,,4,2040-01-01T00:00:00.000Z,2007-05-10T00:00:00.000Z,,,,0,1,0,NJ,290000,10000,2011,8609,0,9daafaa2-00bb-4654-b295-a3210d334276
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,1,,34021002800,A04,0,40.2,-74.7,0,,0,2,0,,1,1950-07-01T00:00:00.000Z,1988-05-23T00:00:00.000Z,2893.41,,,0,1,0,NJ,19500,0,2011,8609,1,a6a9bf73-84cf-49b0-a77d-785e2d4b07fe
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,7,2011-08-27T00:00:00.000Z,0,,,34021002800,C,0,40.2,-74.7,2,,0,2,0,,1,2026-05-15T00:00:00.000Z,2003-05-10T00:00:00.000Z,,,,0,7,0,NJ,250000,100000,2011,8609,1,a424a7d9-317a-4f01-b064-e498d4f8d239
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,1,,34021002800,AE,0,40.2,-74.7,0,,0,3,0,,1,2015-01-01T00:00:00.000Z,2007-06-28T00:00:00.000Z,1906.7,,,0,1,0,NJ,163400,0,2011,8609,0,7917ca88-a59a-4f85-acb5-7c20a95b249c
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,0,,0,2,0,,1,2035-01-01T00:00:00.000Z,2005-01-10T00:00:00.000Z,,,,0,1,0,NJ,88000,0,2011,8609,0,8f942f5f-4c0e-42d3-9966-62ab5377fa4b
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021002800,AE,0,40.2,-74.7,0,,0,3,0,,2,2035-01-01T00:00:00.000Z,2006-05-17T00:00:00.000Z,,,,0,1,0,NJ,77200,0,2011,8609,0,6725ed4a-218d-4db0-bea2-72c9b3169a82
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2011-08-27T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,3,0,,1,1960-01-01T00:00:00.000Z,2003-10-22T00:00:00.000Z,5897.16,,,0,1,0,NJ,158000,50000,2011,8638,1,a25e641d-b6fe-405c-8da9-5f411b835f09
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2011-08-28T00:00:00.000Z,0,,,34021003500,AE,0,40.2,-74.8,0,,0,2,0,,1,1974-07-01T00:00:00.000Z,2004-10-07T00:00:00.000Z,5990.18,,,0,1,0,NJ,76200,0,2011,8638,1,25ef0797-7d30-442d-b6b0-b1ceda0df411
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2011-08-28T00:00:00.000Z,0,1,,34021003400,AE,0,40.2,-74.8,0,,0,3,0,,1,2040-01-01T00:00:00.000Z,1999-11-01T00:00:00.000Z,2084.67,,,0,1,0,NJ,250000,0,2011,8638,0,b84eaad8-1375-4382-863d-6da223f562c0
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2011-08-28T00:00:00.000Z,0,1,,34021003400,AE,0,40.2,-74.8,0,,0,1,0,,4,1955-09-29T00:00:00.000Z,2009-09-29T00:00:00.000Z,11664.57,,,0,1,0,NJ,100000,0,2011,8638,0,3f92e0b6-7889-4286-bb8b-62209638bff0
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2011-08-28T00:00:00.000Z,0,1,,34021003400,AE,0,40.2,-74.8,0,,0,1,0,,4,1955-09-29T00:00:00.000Z,2009-09-29T00:00:00.000Z,9321.4,,,0,1,0,NJ,110000,0,2011,8638,0,ed4696d0-e053-410b-b1bd-528e20a38232
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2011-08-27T00:00:00.000Z,0,1,,34021003500,AE,0,40.2,-74.8,2,,0,2,0,,2,1959-01-01T00:00:00.000Z,2009-12-28T00:00:00.000Z,5914.33,,,0,1,0,NJ,240000,20000,2011,8638,0,6e6fa577-417d-42c0-bcc6-4f02f51ce2ae
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2011-08-28T00:00:00.000Z,0,1,,34021003500,AE,0,40.3,-74.8,0,,0,1,0,,4,1960-01-01T00:00:00.000Z,2011-03-03T00:00:00.000Z,33315.97,,,0,1,0,NJ,241800,0,2011,8638,0,2ae1be0d-29c9-43a5-8b20-b19601f444b1
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2011-08-27T00:00:00.000Z,0,,,34021003500,AE,0,40.2,-74.8,0,,0,3,0,,4,1976-01-29T00:00:00.000Z,2004-04-06T00:00:00.000Z,10413.77,,,0,1,0,NJ,55000,0,2011,8638,0,bc2acc1a-6f30-4cd7-8602-e12b31b385b0
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2011-08-27T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,0,,0,1,0,,4,1950-01-01T00:00:00.000Z,2011-02-06T00:00:00.000Z,105368.67,,,0,1,0,NJ,500000,0,2011,8638,0,31958479-a724-4a43-906a-92132fa904fa
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,,2011-08-28T00:00:00.000Z,0,,,34021003500,AE,0,40.2,-74.8,3,,0,1,0,,4,1954-01-01T00:00:00.000Z,1999-07-12T00:00:00.000Z,105059.12,30105.23,,0,1,0,NJ,500000,500000,2011,8638,0,a0cbd419-942e-4004-8edc-10dce6ecc199
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2011-08-27T00:00:00.000Z,0,1,,34021003500,AE,0,40.2,-74.8,0,,0,2,0,,1,1965-01-01T00:00:00.000Z,2010-12-10T00:00:00.000Z,6918.62,,,0,1,0,NJ,100000,0,2011,8638,1,140a3414-f824-4955-9012-eb23384fe9d3
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2011-08-28T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,3,0,,1,2038-01-01T00:00:00.000Z,2010-08-11T00:00:00.000Z,17587.71,5000,,0,1,0,NJ,30000,5000,2011,8638,0,a00682d6-3054-4d5d-935e-9ecfac037c35
0,2021-11-20T00:00:00.000Z,,,Temporarily Unavailable,N,1,34021,7,2011-08-28T00:00:00.000Z,0,,,34021003400,X,0,40.2,-74.8,3,,0,1,1,,4,1976-01-29T00:00:00.000Z,2000-01-01T00:00:00.000Z,,64734.03,,0,1,0,NJ,350000,230000,2011,8638,0,0d01ca31-a934-4727-8be3-c5423f0a899d
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2011-08-27T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,2,0,,1,2034-01-01T00:00:00.000Z,2004-12-18T00:00:00.000Z,12044.02,1048.53,,0,1,0,NJ,98400,5000,2011,8638,1,a1a00b68-c924-4f66-a522-fddcefff16e6
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2011-08-28T00:00:00.000Z,0,,,34021003400,X,0,40.2,-74.8,2,,0,2,0,,1,1975-01-01T00:00:00.000Z,2006-08-15T00:00:00.000Z,6279.63,,,0,7,0,NJ,250000,100000,2011,8638,0,0610c2fb-aa65-490c-9913-9a4e76e9c1db
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2012-10-29T00:00:00.000Z,0,,,34021002200,X,0,40.2,-74.7,2,,0,2,0,,1,1981-10-15T00:00:00.000Z,2011-10-05T00:00:00.000Z,,,,1,7,0,NJ,125000,50000,2012,8609,1,667eca04-7cba-4c13-aab0-134dc69891ba
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2012-10-29T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,3,0,,1,2038-01-01T00:00:00.000Z,2010-08-11T00:00:00.000Z,2997.65,,,0,1,0,NJ,33000,5300,2012,8638,0,a4d9b1d0-2a20-4f41-bd48-d4db9a0dd506
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2013-06-27T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,3,0,,1,2038-01-01T00:00:00.000Z,2010-08-11T00:00:00.000Z,3599.2,,,0,1,0,NJ,33000,5300,2013,8638,0,614d81c3-2468-472b-9360-86e992276ca8
0,2021-11-20T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2014-04-30T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,3,0,,1,2038-01-01T00:00:00.000Z,2010-08-11T00:00:00.000Z,666.36,,,0,1,0,NJ,33000,5300,2014,8638,0,da46f1ec-451c-4070-af37-1f0dfe7a2c4f
0,2021-11-20T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2015-02-21T00:00:00.000Z,0,,,34021002200,X,0,40.2,-74.7,2,,0,2,0,,1,1981-10-15T00:00:00.000Z,2011-10-05T00:00:00.000Z,,,,1,7,0,NJ,150000,60000,2015,8609,1,a4272ebf-c976-4bd5-b674-99c88067b191
0,2021-11-24T00:00:00.000Z,,1,Temporarily Unavailable,N,1,34021,,2021-09-01T00:00:00.000Z,0,,,34021003400,AE,0,40.2,-74.8,2,,0,2,0,,1,1950-01-01T00:00:00.000Z,2018-09-07T00:00:00.000Z,0,0,0,0,1,0,NJ,165000,50000,2021,8638,1,f324ee69-76f0-42a2-8da7-1de155589711
0,2022-03-23T00:00:00.000Z,,2,Temporarily Unavailable,N,1,34021,,2021-09-01T00:00:00.000Z,0,2,,34021003500,AE,0,40.2,-74.8,2,,0,3,0,,1,2028-04-01T00:00:00.000Z,2018-03-22T00:00:00.000Z,,,,0,1,0,NJ,147000,10000,2021,8638,1,5a1df698-88ca-4f87-a482-aa0dd5b82579
0,2022-03-09T00:00:00.000Z,69,,Temporarily Unavailable,N,1,34021,,2021-09-01T00:00:00.000Z,0,,-1,34021003400,AE,0,40.2,-74.8,0,68,68.2,1,0,,6,1960-01-01T00:00:00.000Z,2016-03-08T00:00:00.000Z,0,,,0,B,1,NJ,250000,0,2021,8638,0,36a08946-7959-4ff3-be3d-e0206d8cbba9
